id,type,timestamp,actor,statement_or_action,source,source_locator,verification_status,financial_amount,contractual_obligation,enforcement_mechanism,contradiction_with,timeline_discrepancy,notes,tags,related_ids
VOTE-0039,vote,2025-08-26,Doña Ana County Board of Commissioners,Vote 4-1 to hold a Sept 19 public hearing on proposed IRB and LEDA ordinances related to Project Jupiter.,https://nmelc.org/wp-content/uploads/2025/11/2025-11-04-Amended-Motion-for-Stay.pdf,Amended Motion for Stay (Attachment context).,verified_primary,,,,,,,,
VOTE-0040,vote,2025-09-09,Doña Ana County Board of Commissioners,Vote 4-1 to hold an Oct 14 public hearing on proposed Ordinance 369-2025 (additional IRB-related ordinance).,https://nmelc.org/wp-content/uploads/2025/11/2025-11-04-Amended-Motion-for-Stay.pdf,Amended Motion for Stay (procedural history).,verified_primary,,,,,,,,
VOTE-0041,vote,2025-09-19,Doña Ana County Board of Commissioners,Vote 4-1 to approve Ordinance 367-2025 (IRB) and Ordinance 368-2025 (LEDA/GRT agreement).,/mnt/data/PROJECT_JUPITER_QUOTES_COMPILATION.md,Voting record section.,verified_primary,,,,,,,,
VOTE-0042,vote,2025-09-19,Commission votes (named),"Yes: Christopher Schaljo-Hernandez, Gloria Gameros, Shannon Reynolds, Manuel A. Sanchez. No: Susana Chaparro.",/mnt/data/CONTACTS.md,Key accountability notes / vote record.,verified_primary,,,,,,Named vote breakdown compiled from county commissioner listings and lawsuit/news references in user files.,,VOTE-0041
VOTE-0043,vote,2025-10-14,Doña Ana County Board of Commissioners,Vote 4-1 to approve Ordinance 369-2025 (additional IRB ordinance).,/mnt/data/PROJECT_JUPITER_QUOTES_COMPILATION.md,Voting record section.,verified_primary,,,,,,,,
VOTE-0044,vote,2025-10-14,Commission votes (named),"Yes: Christopher Schaljo-Hernandez, Gloria Gameros, Shannon Reynolds, Manuel A. Sanchez. No: Susana Chaparro.",/mnt/data/CONTACTS.md,Key accountability notes / vote record.,verified_primary,,,,,,Named vote breakdown compiled from county commissioner listings and lawsuit/news references in user files.,,VOTE-0043
FINANCIAL_COMMITMENT-0056,financial_commitment,2025-09-17,Doña Ana County & BorderPlex Digital Assets LLC,"County agrees to provide a GRT Share (LEDA incentive) totaling up to $50,000,000 for eligible project costs.",https://haussamen.com/wp-content/uploads/2025/10/9.17.25.JupiterProjectParticipationAgreement.pdf,PPA (payment obligation + eligible costs).,verified_primary,"Up to $50,000,000","Provide GRT Share payments up to $50M, subject to documentation and annual performance review.","PPA provides annual performance review, audit rights, withholding of disbursements for noncompliance; termination via ordinance; clawback penalty for nonpayment by company where required.",,,,,
FINANCIAL_COMMITMENT-0057,financial_commitment,2025-09-17,Doña Ana County & BorderPlex Digital Assets LLC,"County agrees to reduce permit fees by $4,500,000 (permit fee reductions).",https://haussamen.com/wp-content/uploads/2025/10/9.17.25.JupiterProjectParticipationAgreement.pdf,PPA (permit fee reductions).,verified_primary,"$4,500,000",Permit fee reductions totaling $4.5M.,Administered through county permitting; enforcement largely administrative; verify clawback/remedy language in PPA.,,,,,
FINANCIAL_COMMITMENT-0046,financial_commitment,2025-09-18,Project Jupiter developer entities,"Annual PILOT payments totaling $12,000,000 per year for 30 years (public reporting).",https://haussamen.com/2025/10/12/project-jupiters-big-promises-are-legally-binding/,"Haussamen Oct 12, 2025 article, 'The promises' section.",verified_secondary,"$12,000,000/year; ~$360,000,000 total",,,,,Breakdown among County and school districts reported in article; verify against each lease's §5.10 and Exhibit C allocations.,,
FINANCIAL_COMMITMENT-0053,financial_commitment,2025-09-18,BorderPlex Digital Assets LLC (via MOU Appendix B),"Total contributions of $6,900,000 (workforce, Boys & Girls Club, desalination exploration, DACC transit aid, habitat protection).",https://haussamen.com/wp-content/uploads/2025/10/9.18.25.MOU_.pdf,MOU Appendix B (contributions) and §5.2 (binding).,verified_primary,"$6,900,000",Make listed contributions in Appendix B; conditional on MOU execution and ordinance approvals.,MOU §5.2 makes contributions binding; remedies not specified in MOU beyond standard contract enforcement; verify whether leases specify default/remedies tied to contributions.,,,,,
FINANCIAL_COMMITMENT-0070,financial_commitment,2025-10-01,Total PILOT vs per-lease PILOT,Reported total PILOT is $12M/year across subseries; Series 2025A lease shows $3M/year starting 2026-12-31. Remaining subseries amounts must sum to reported total.,https://haussamen.com/2025/10/12/project-jupiters-big-promises-are-legally-binding/,Compare reporting to each subseries lease §5.10 amounts.,needs_primary_confirmation,$12M/year total; $3M/year (2025A); remainder TBD,,,,,Verify Series 2025B and 2025C PILOT amounts and allocations; compute total from executed leases and indentures.,,
FINANCIAL_COMMITMENT-0047,financial_commitment,2025-12-31 (first due per lease),"Yucca Growth Infrastructure, LLC (Series 2025A)","PILOT payment in lieu of taxes begins Dec 31, 2026: $3,000,000 (Series 2025A lease).",https://haussamen.com/wp-content/uploads/2025/10/9.18.25.JupiterSeries2025ALease.pdf,Lease §5.10 (Issuer Payment).,verified_primary,"$3,000,000/year starting 2026-12-31",Pay annual PILOT; subject to increases under lease.,Issuer can terminate lease for nonpayment after notice; other subseries may cure by paying; termination delayed 30 days after notice.,,,,,
FINANCIAL_COMMITMENT-0051,financial_commitment,2025-10-01 (dated),Series 2025B developer entities,"$4,000,000 contribution for workforce development programs (CTE facility, public safety campus, NMSU workforce).",https://haussamen.com/wp-content/uploads/2025/10/9.18.25.JupiterSeries2025BLease.pdf,Lease recitals (P14–P15) on contribution.,verified_primary,"$4,000,000",Make $4M contribution for specified workforce and public safety initiatives.,Binding via lease and MOU Appendix B contributions; payment schedules must be verified in appendices.,,,,,
FINANCIAL_COMMITMENT-0052,financial_commitment,2025-10-01 (dated),Series 2025B developer entities,"$1,500,000 one-time contribution for local initiatives including Phase I of new Boys and Girls Club facility.",https://haussamen.com/wp-content/uploads/2025/10/9.18.25.JupiterSeries2025BLease.pdf,Lease recitals (P15) contribution summary (partial).,verified_primary,"$1,500,000",Make $1.5M one-time contribution.,Binding via lease and MOU Appendix B contributions; confirm deliverable list and timing.,,,,,
FINANCIAL_COMMITMENT-0064,financial_commitment,2025-09-19 (vote) / 2025-09-22 (recorded),Doña Ana County,"IRBs authorized in max aggregate principal amount up to $165,000,000,000 (IRB ordinance quote as captured in evidence files).",/mnt/data/PROJECT_JUPITER_FACT_SHEET.md,Fact sheet and evidence notes referencing Ordinance 367-2025.,verified_secondary,"$165,000,000,000 (max)",,,,,Primary ordinance PDF not retrieved via web tool; verify against certified ordinance record if needed.,,
CONTRACT_OBLIGATION-0045,contract_obligation,2025-09-18,Doña Ana County (Issuer) & BorderPlex Digital Assets LLC (Developer),County provides full (100%) abatement of real and personal property taxes for 30 years (per MOU).,https://haussamen.com/wp-content/uploads/2025/10/9.18.25.MOU_.pdf,MOU §1.1 (tax abatement).,verified_primary,,Provide 100% property tax abatement for 30-year term.,Via IRB/lease structure; enforceability depends on ordinance/lease validity; subject to legal challenges.,,,,,
CONTRACT_OBLIGATION-0048,contract_obligation,2025-10-01 (dated),"Red Chiles [A/B/C/D], LLC & Green Chile Ventures LLC (Series 2025B)","Closed-loop cooling; average water use 20,000 gpd; peak water use capped at 60,000 gpd; fund water and wastewater line extensions and construct lift station.",https://haussamen.com/wp-content/uploads/2025/10/9.18.25.JupiterSeries2025BLease.pdf,Lease recitals (P13) on water and infrastructure.,verified_primary,,Operate with closed-loop cooling; cap peak water use at 60k gpd; fund required water/wastewater extensions; build lift station.,Included in lease (binding instrument). Verify whether covenant exists beyond recitals; remedies would flow through Events of Default / clawback provisions if defined.,,,,,
CONTRACT_OBLIGATION-0050,contract_obligation,2025-10-01 (dated),Series 2025B developer entities,"Hire 750 full-time and 50 part-time employees within three years of commencing operations; project 2,500 construction jobs (2025-2028); salaries shall be $75,000–$100,000.",https://haussamen.com/wp-content/uploads/2025/10/9.18.25.JupiterSeries2025BLease.pdf,Lease recitals (P14) on jobs and wages.,verified_primary,,Employment and wage commitments stated in lease documents.,Lease includes job target dates and PILOT increase mechanism tied to employment (see §4.20 in lease).,,,,,
CONTRACT_OBLIGATION-0054,contract_obligation,Commencing with issuance of bonds (per lease),Series 2025B developer entities,Use best efforts for County First hiring strategy; coordinate job fairs and website; prioritize qualified Doña Ana County applicants.,https://haussamen.com/wp-content/uploads/2025/10/9.18.25.JupiterSeries2025BLease.pdf,Lease §4.18 Local Hiring (P25–P26).,verified_primary,,Best-efforts local hiring and County First strategy.,Best-efforts standard; verify whether failure triggers clawback/PILOT increase or abatement repayment schedule.,,,,,
PROMISE-0049,promise,2025-10-01 (dated),Series 2025B developer entities,Project will not impact existing customers power reliability or costs.,https://haussamen.com/wp-content/uploads/2025/10/9.18.25.JupiterSeries2025BLease.pdf,Lease recitals (P13) on power reliability/costs.,verified_primary,,,,,,Statement appears as a lease recital; verify operational enforcement clause or metric.,,
PROMISE-0066,promise,2025-09-19 (public hearing),"Stephen Lopez (Assistant County Manager, Doña Ana County)",Stated Project Jupiter could bring high-paying jobs and workforce development opportunities to southern New Mexico.,/mnt/data/PROJECT_JUPITER_QUOTES_COMPILATION.md,Quote in compilation.,verified_primary,,,,,,Public-facing promise framing; quantify against lease job/wage commitments and verify delivery via annual reports/performance reviews.,,
ENFORCEMENT-0058,enforcement,2025-09-17,Doña Ana County & BorderPlex Digital Assets LLC,Annual performance review and audit rights; county may withhold disbursements until compliance; termination of GRT Share Term via ordinance; GRT share clawback includes 100% penalty if company fails to pay amounts owed.,https://haussamen.com/wp-content/uploads/2025/10/9.17.25.JupiterProjectParticipationAgreement.pdf,PPA §3.5 Annual Performance Review; §3.6 audits; §5.3 termination; §5.4 GRT Share Clawback.,verified_primary,,,Withholding disbursements; audits; termination by ordinance; 100% penalty clawback if company fails to pay owed amounts.,,,,,
ENFORCEMENT-0059,enforcement,2025-09-18,Doña Ana County & BorderPlex Digital Assets LLC,"MOU states it does not create legal rights or obligations, except binding contributions in Appendix B (and only upon MOU execution and ordinance approvals).",https://haussamen.com/wp-content/uploads/2025/10/9.18.25.MOU_.pdf,MOU §5.1 and §5.2.,verified_primary,,,Limits enforceability of non-contribution commitments in MOU; contributions enforceable contingent on approvals.,,,,,
ENFORCEMENT-0055,enforcement,Commencing with issuance of bonds (per lease),Series 2025B lease structure,Abated tax repayment schedule listed: Years 0-3 repay 100% of abated tax; Year 4 repay 70%; Year 5 repay 40%; Year 6+ repay 0%.,https://haussamen.com/wp-content/uploads/2025/10/9.18.25.JupiterSeries2025BLease.pdf,Lease §4.18 area includes abated tax repayment schedule (table).,verified_primary,,,Clawback schedule for abatement benefits (trigger conditions need verification in lease's clawback sections).,,,,,
ENFORCEMENT-0065,enforcement,Per Lease §4.20 (Job Target Dates),Series 2025B lease structure,PILOT Increase mechanism tied to employment targets; issuer may require increased PILOT if job targets missed after cure period.,https://haussamen.com/wp-content/uploads/2025/10/9.18.25.JupiterSeries2025BLease.pdf,Lease §4.20 PILOT Increase (Job targets / cure).,verified_primary,,,"Increase in PILOT payments following employment shortfalls, subject to cure period and annual report.",,,,,
TIMELINE_DISCREPANCY-0060,timeline_discrepancy,2025-09-17 to 2025-09-19,Doña Ana County staff / commissioners,Signed agreements were produced to the public only days before the Sept 19 vote; updated agreements not released prior to vote; IPRA responses delayed.,https://nmelc.org/wp-content/uploads/2025/11/2025-11-04-Amended-Motion-for-Stay.pdf,Amended Motion for Stay attachment (letter) describing timing of document production.,verified_primary,,,,,Late disclosure vs decision date; limited public review time.,Also reported by Haussamen that county did not provide agreements in response to IPRA and that a commissioner forwarded them instead.,,
TIMELINE_DISCREPANCY-0061,timeline_discrepancy,2025-10-02 to 2025-10-17 (promised),Doña Ana County staff,County asserted request was overly broad and promised later reply; documents already compiled in one email (per reporting).,https://haussamen.com/2025/10/12/project-jupiters-big-promises-are-legally-binding/,"Haussamen Oct 12, 2025 article, IPRA section.",verified_secondary,,,,,Delay/obstruction vs ease of retrieval.,Use for accountability on records practices.,,
TIMELINE_DISCREPANCY-0068,timeline_discrepancy,2025-10-01 to 2025-10-12,Public docs release vs promise content,Early publicly available legal documents reportedly omitted water-use and $6.9M donation commitments; later updated leases/MOU include them.,https://haussamen.com/2025/10/12/project-jupiters-big-promises-are-legally-binding/,"Haussamen Oct 12, 2025 article describing updated documents; compare to earlier Oct 1 reporting.",verified_secondary,,,,,Commitments added/withheld between document versions; track who had which version when.,Use to audit disclosure practices and possible post-vote document changes.,,
TIMELINE_DISCREPANCY-0069,timeline_discrepancy,2025-09-19 to 2026+,Environmental review vs construction timeline,Letter states environmental assessment incomplete and expected within six months; leases/project schedule anticipate construction 2025-2028 and operations within three years.,https://nmelc.org/wp-content/uploads/2025/11/2025-11-04-Amended-Motion-for-Stay.pdf,Amended Motion for Stay attachment (environmental assessment status) + lease job timeline.,verified_primary,,,,,Review timeline may lag project schedule; verify actual EA completion date and prerequisites for construction permits.,Potential conflict between claimed safeguards and readiness to proceed.,,
CONTRADICTION-0063,contradiction,2025-09-18,Developer/County communications vs MOU enforceability,"Public-facing narrative treated commitments as enforceable, but MOU §5.1 states no legal rights/obligations other than Appendix B contributions.",https://haussamen.com/2025/10/12/project-jupiters-big-promises-are-legally-binding/,"Haussamen Oct 12, 2025 article + MOU §5.1.",verified_secondary,,,,https://haussamen.com/wp-content/uploads/2025/10/9.18.25.MOU_.pdf,,Track which commitments are enforceable by which instrument (lease/PPA vs MOU).,,
CONTRADICTION-0062,contradiction,2025-09-19,County counsel statement vs public expectations,"County counsel indicated key items (jobs/revenue projections) were not required to be specified in the application, while public-facing materials made specific quantitative promises.",https://nmelc.org/wp-content/uploads/2025/11/2025-11-04-Amended-Motion-for-Stay.pdf,Amended Motion for Stay attachment includes counsel exchange about not needing to specify key items in the application.,verified_primary,,,,https://haussamen.com/wp-content/uploads/2025/10/9.18.25.JupiterSeries2025BLease.pdf,,Captures the gap between minimum statutory application requirements and the specific quantitative promises appearing in leases/press materials.,,
CONTRADICTION-0067,contradiction,2025-01-22 (document versioning),Internal briefing vs executed leases,"Briefing notes claim there are no explicit numeric limits on water usage in agreements, but executed leases include an average 20,000 gpd and max 60,000 gpd statement.",/mnt/data/PROJECT_JUPITER_EVIDENCE_BRIEFING.md,Search 'no explicit numeric limits' vs lease recitals.,verified_primary,,,,https://haussamen.com/wp-content/uploads/2025/10/9.18.25.JupiterSeries2025BLease.pdf,,Likely reflects earlier document set or incomplete public release; treat as version-control issue.,,
ISSUE-0001,issue,2025-02-25,NM Governor's Office & BorderPlex Digital Assets LLC,State MOU Signed with BorderPlex Digital,BorderPlex Digital MOU,2.25.25.BorderPlexDigitalMOU.part001.md,as_captured_in_user_matrix,,,,,,State committed to support project before county approval; promised regulatory fast-tracking,base_matrix,
ISSUE-0002,issue,2025-02-25,NM Governor's Office,"State promises to classify natural gas as ""zero carbon resource""",BorderPlex Digital MOU,2.25.25.BorderPlexDigitalMOU.part001.md lines 115-125,as_captured_in_user_matrix,,,,,,Misrepresentation of environmental impact; contradiction to NM climate goals,base_matrix,
ISSUE-0003,issue,2025-02-25,NM Governor's Office & Economic Development Dept,State commits to subsidize brackish water drilling costs,BorderPlex Digital MOU,2.25.25.BorderPlexDigitalMOU.part002.md lines 16-22,as_captured_in_user_matrix,,,,,,Public funds committed to private project without legislative approval,base_matrix,
ISSUE-0004,issue,2025-02-25,NM Environment Dept & State Engineer Office,State promises expedited permitting,BorderPlex Digital MOU,2.25.25.BorderPlexDigitalMOU.part002.md lines 37-43,as_captured_in_user_matrix,,,,,,Circumventing normal regulatory review processes,base_matrix,
ISSUE-0007,issue,2025-08-19,Empowerment Congress & community members,Community protests at Legislative Finance Committee,NMELC article,nmelc.org_2025_08_22 article,as_captured_in_user_matrix,,,,,,"Opposition to water usage for data centers; ""You Can't Drink Data"" protests",base_matrix,
ISSUE-0008,issue,2025-08-19,Lanham Napier (BorderPlex CEO),BorderPlex CEO Lanham Napier testifies to legislature,NMELC article,nmelc.org_2025_08_22 article,as_captured_in_user_matrix,,,,,,Promoting project to state legislators,base_matrix,
ISSUE-0009,issue,2025-09-05,Commissioner Shannon Reynolds,Commissioner Reynolds doxxes residents who opposed project,NMELC formal letter,nmelc.org_2025_09_08 doxxing article lines 9-10,as_captured_in_user_matrix,,,,,,Posted names/addresses of public commenters on Facebook to intimidate opposition,base_matrix,
ISSUE-0010,issue,2025-09-08,New Mexico Environmental Law Center,NMELC sends formal complaint letter about doxxing,NMELC press release,nmelc.org_2025_09_08 article line 10,as_captured_in_user_matrix,,,,,,Demanding county take action against commissioner misconduct,base_matrix,
ISSUE-0011,issue,2025-09-19,Doña Ana County Commission (4-1 vote),IRB Inducement Resolution No. 2025-96 approved,County Resolution,Resolution-No.-2025-96 files,as_captured_in_user_matrix,,,,,,Authorized beginning IRB process for $165 billion,base_matrix,
ISSUE-0012,issue,2025-09-19,Commissioners: YES votes (4) / NO: Susana Chaparro,Ordinance No. 367-2025 (IRB) approved 4-1,County meeting minutes & news coverage,9.19.25.JupiterIRBOrdinance files,as_captured_in_user_matrix,,,,,,Approved $165B in Industrial Revenue Bonds despite incomplete application,base_matrix,
ISSUE-0013,issue,2025-09-19,Commissioners: YES votes (4) / NO: Susana Chaparro,Ordinance No. 368-2025 (LEDA GRT Share) approved 4-1,County meeting minutes & news coverage,Ordinance-No.-368-2025 files,as_captured_in_user_matrix,,,,,,Approved GRT tax sharing without proper economic analysis,base_matrix,
ISSUE-0014,issue,2025-09-19,Daisy Maldonado (Empower NM) & community members,Community protests at county meeting,KFOX14 news coverage,kfoxtv.com Sept 19 article lines 18-22,as_captured_in_user_matrix,,,,,,Called for delay; cited missing economic & environmental analyses,base_matrix,
ISSUE-0015,issue,2025-09-19,Mayor Javier Perea (City of Sunland Park),Sunland Park Mayor requests delay,KFOX14 news coverage,kfoxtv.com Sept 19 article lines 16-17,as_captured_in_user_matrix,,,,,,Finding out information same time as press releases; lack of coordination with affected municipality,base_matrix,
ISSUE-0016,issue,2025-09-19,Stephen Lopez (Assistant County Manager),County Manager claims project brings thousands of jobs,KFOX14 news coverage,kfoxtv.com Sept 19 article line 13,as_captured_in_user_matrix,,,,,,"Public statements promoting project; ""largest potential commercial project""",base_matrix,
ISSUE-0017,issue,2025-10-14,Commissioners: YES votes (4) / NO: Susana Chaparro,Ordinance No. 369-2025 (LEDA Building Permit Fees) approved 4-1,County meeting & legal complaint,Ordinance-No.-369-2025 files,as_captured_in_user_matrix,,,,,,Approved second LEDA funding mechanism,base_matrix,
ISSUE-0018,issue,2025-10-14,Empowerment Congress representatives & residents,Community members continue protests at meeting,Legal complaint,Petition part001.md lines 127-128,as_captured_in_user_matrix,,,,,,Verbal public comments opposing LEDA Ordinance 2,base_matrix,
ISSUE-0019,issue,2025-10-17,Empowerment Congress of Doña Ana County & José Saldaña Jr. & Vivian Fuller,Legal complaint filed in Third Judicial District Court,Court filing D-307-CV-2025-02766,Petition-for-Writ full document,as_captured_in_user_matrix,,,,,,Petition for Writ of Certiorari challenging three ordinances,base_matrix,
ISSUE-0020,issue,2025-10-17,Plaintiffs via NMELC,Lawsuit alleges incomplete application,Legal complaint,kfoxtv.com lawsuit article line 15,as_captured_in_user_matrix,,,,,,"Application contained ""blank and missing pages"" and lacked critical information",base_matrix,
ISSUE-0021,issue,2025-10-17,Plaintiffs via NMELC,Lawsuit alleges no statutory authority for LEDA funding,Legal complaint,Petition multiple sections,as_captured_in_user_matrix,,,,,,"Project doesn't create ""new jobs"" required by LEDA statute",base_matrix,
ISSUE-0022,issue,2025-10-17,Doña Ana County & BorderPlex Digital,Community Development Agreement signed,County document,Updated-Community-Development-Agreement files,as_captured_in_user_matrix,,,,,,Formal agreement executed same day lawsuit filed,base_matrix,
ISSUE-0023,issue,2025-10-23,New Mexico Environmental Law Center,NMELC press release announces lawsuit (bilingual),Press release (English & Spanish),nmelc.org PR-SP_ST-10-23-25.pdf,as_captured_in_user_matrix,,,,,,Public announcement of legal action,base_matrix,
ISSUE-0024,issue,2025-12-12,New Mexico Environmental Law Center,NMELC letter to NMED on Acoma LLC air permits,Letter to NM Environment Department,nmelc.org_2025_12_12 letter,as_captured_in_user_matrix,,,,,,Requests public notice in English & Spanish for air pollution permits in Sunland Park & Santa Teresa,base_matrix,
ISSUE-0025,issue,2025-12-15,New Mexico Environmental Law Center,NMELC follow-up letter to NMED on air permits,Follow-up letter to NMED,nmelc.org_2025_12_15 letter,as_captured_in_user_matrix,,,,,,Continued advocacy for proper public notice on Acoma LLC applications,base_matrix,
ISSUE-0005,issue,Early 2025,Doña Ana County Commission & BorderPlex Digital,County officials sign NDA with developers,Legal complaint filing,Petition part001.md line 16,as_captured_in_user_matrix,,,,,,Secret negotiations prevented public transparency,base_matrix,
ISSUE-0006,issue,Early 2025,Doña Ana County Commission & BorderPlex Digital,Private meetings held months before public hearings,Legal complaint filing,kfoxtv.com lawsuit article line 16,as_captured_in_user_matrix,,,,,,Decisions made before public input,base_matrix,
ISSUE-0026,issue,Ongoing,Doña Ana County,County posts project information on website,County economic development webpage,www.donaana.gov economic_development_projects.php,as_captured_in_user_matrix,,,,,,Public-facing explanation of IRB process and project benefits,base_matrix,
ISSUE-0027,issue,Ongoing,Doña Ana County & STACK Infrastructure & BorderPlex Digital,IRB Series 2025A/B/C bond documents executed,Executed bond documents,IRB-Series-2025A/B/C files,as_captured_in_user_matrix,,,,,,Three separate bond series totaling up to $165 billion,base_matrix,
ISSUE-0028,issue,Ongoing,Doña Ana County & project developers,LEDA Project Participation Agreement (GRT Share) executed,Executed agreement,LEDA-PPA-GRT-Share_Executed files,as_captured_in_user_matrix,,,,,,Detailed terms of GRT tax sharing arrangement,base_matrix,
ISSUE-0029,issue,Ongoing,Doña Ana County & project developers,MOU fully executed (September 24 version),Fully executed MOU dated 9/24/2025,2025.09.24_Project_Jupiter_Fully_Executed_MOU files,as_captured_in_user_matrix,,,,,,Later MOU closer to approval votes,base_matrix,
ISSUE-0030,issue,Ongoing,Doña Ana County Commission,No economic impact analysis disclosed,Absence in public record,kfoxtv.com Sept 19 article line 21,as_captured_in_user_matrix,,,,,,Community advocates noted missing economic analysis,base_matrix,
ISSUE-0031,issue,Ongoing,Doña Ana County Commission,No environmental impact analysis disclosed,Absence in public record,kfoxtv.com Sept 19 article line 21,as_captured_in_user_matrix,,,,,,Community advocates noted missing environmental analysis,base_matrix,
ISSUE-0032,issue,Ongoing,Doña Ana County,No public disclosure of PILOT payment amounts,Absence in public documents,County economic development webpage (mentions PILOT but no amounts),as_captured_in_user_matrix,,,,,,Payment in Lieu of Taxes amounts not disclosed to public,base_matrix,
ISSUE-0033,issue,Ongoing,Project developers & County,Water usage projections not disclosed,Absence in public record,Multiple news articles cite community water concerns,as_captured_in_user_matrix,,,,,,Community concerns about water strain not addressed with data,base_matrix,
ISSUE-0034,issue,Ongoing,Project developers & County,Energy demand projections not disclosed,Absence in public record,Multiple news articles cite energy concerns,as_captured_in_user_matrix,,,,,,Microgrid plans and grid impact not detailed publicly,base_matrix,
ISSUE-0035,issue,Ongoing,BorderPlex Digital Assets & potentially OpenAI,Connection to OpenAI/Stargate initiative alleged,News coverage & legal filings,nmelc.org lawsuit article; kfoxtv.com Stargate article,as_captured_in_user_matrix,,,,,,"Project may be part of $500B national ""Stargate"" AI initiative",base_matrix,
ISSUE-0036,issue,Ongoing,Doña Ana County,Desalination plant funding sought,County funding request,kfoxtv.com desalination article,as_captured_in_user_matrix,,,,,,County seeking $25M for Santa Teresa desalination plant to support project,base_matrix,
ISSUE-0037,issue,Ongoing,Project developers & County,No public disclosure of job quality or duration,Promotional statements lack detail,Multiple sources mention jobs but no specifics,as_captured_in_user_matrix,,,,,,"Thousands of construction jobs and ""hundreds of permanent positions"" claimed without detail",base_matrix,
ISSUE-0038,issue,Ongoing,Doña Ana County Commission,Four commissioners who voted YES not identified by name in most coverage,News coverage pattern,Multiple news articles,as_captured_in_user_matrix,,,,,,Only Susana Chaparro (NO vote) consistently named; YES voters protected from accountability,base_matrix,
